# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
9668,55.982559,37.413028,0.211887,-0.910994,9.266758,-0.076336,-0.015267,-0.015267,-12.634665,1.953105,1.452976
9768,55.982559,37.413028,0.221464,-0.909797,9.271547,-0.061069,-0.015267,-0.015267,-12.676657,1.956617,1.481490
9868,55.982559,37.413028,0.204704,-0.907402,9.277532,-0.076336,-0.015267,-0.015267,-12.703844,1.960688,1.516527
9968,55.982559,37.413028,0.217872,-0.918176,9.277532,-0.061069,-0.015267,-0.015267,-12.738824,1.971134,1.545745
10068,55.982559,37.413028,0.214281,-0.918176,9.266758,-0.076336,-0.015267,-0.015267,-12.773859,1.974647,1.574189
10168,55.982559,37.413028,0.214281,-0.915782,9.266758,-0.076336,-0.015267,-0.015267,-12.801035,1.978767,1.609213
10268,55.982559,37.413028,0.225055,-0.915782,9.269152,-0.061069,-0.015267,-0.015267,-12.822161,1.982192,1.637521
10368,55.982559,37.413028,0.221464,-0.907402,9.261970,-0.061069,-0.015267,-0.015267,-12.849267,1.993290,1.673318
10468,55.982559,37.413028,0.210690,-0.909797,9.264364,-0.061069,-0.015267,-0.015267,-12.862653,1.996543,1.701245
10568,55.982559,37.413028,0.219069,-0.912191,9.272744,-0.076336,-0.015267,-0.015267,-12.883775,2.000000,1.729559
10668,55.982559,37.413028,0.220267,-0.910994,9.261970,-0.076336,-0.015267,-0.015267,-12.903981,2.004120,1.764494
10768,55.982559,37.413028,0.222661,-0.912191,9.267955,-0.061069,-0.015267,-0.015267,-12.925101,2.007598,1.792812
10868,55.982559,37.413028,0.204704,-0.915782,9.269152,-0.061069,-0.015267,-0.015267,-12.938347,2.011669,1.827677
10968,55.982559,37.413028,0.223858,-0.915782,9.267955,-0.061069,-0.015267,-0.015267,-12.958677,2.015035,1.855651
