# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
5398,nan,nan,-1.829170,1.300052,8.626309,-0.061069,-0.015267,-0.015267,0.447516,-0.860381,0.024347
5498,nan,nan,-1.873463,1.343147,8.884883,-0.061069,-0.015267,-0.015267,0.475264,-1.573887,0.041517
5598,nan,nan,-1.886631,1.343147,8.900445,-0.061069,-0.015267,-0.015267,0.503205,-2.238488,0.044840
5698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5798,nan,nan,-1.875857,1.346738,8.906431,-0.061069,-0.015267,-0.015267,0.545664,-3.434780,0.037392
5898,nan,nan,-1.879448,1.347936,8.910022,-0.076336,-0.015267,-0.015267,0.567337,-3.966679,0.026665
5998,nan,nan,-1.886631,1.347936,8.904037,-0.061069,-0.015267,-0.015267,0.582397,-4.463343,0.008655
6098,nan,nan,-1.889025,1.345541,8.900445,-0.061069,-0.015267,-0.015267,0.605002,-4.925276,-0.016140
6198,nan,nan,-1.880645,1.340753,8.904037,-0.061069,-0.015267,-0.015267,0.620828,-5.359264,-0.041273
6298,nan,nan,-1.873463,1.344344,8.895657,-0.061069,-0.015267,-0.015267,0.630145,-5.757941,-0.073883
6398,nan,nan,-1.886631,1.346738,8.884883,-0.061069,-0.015267,-0.015267,0.646758,-6.135981,-0.106224
6498,nan,nan,-1.878251,1.350330,8.890869,-0.061069,-0.015267,-0.015267,0.671000,-6.486024,-0.145296
6598,nan,nan,-1.884237,1.350330,8.905234,-0.061069,-0.015267,-0.015267,0.681400,-6.808166,-0.185285
6699,nan,nan,-1.879448,1.345541,8.901642,-0.061069,-0.015267,-0.015267,0.699402,-7.101886,-0.232002
6799,nan,nan,-1.879448,1.344344,8.889672,-0.061069,-0.015267,-0.015267,0.710639,-7.382082,-0.279268
6899,nan,nan,-1.896208,1.349133,8.902839,-0.061069,-0.015267,-0.015267,0.722505,-7.647814,-0.333619
6999,nan,nan,-1.918953,1.195904,8.965088,-0.061069,-0.015267,-0.061069,0.675559,-7.882574,0.159805
7099,nan,nan,-1.906982,1.320402,8.894460,-0.045802,-0.015267,-0.015267,0.692701,-8.120529,0.120006
7199,nan,nan,-1.262941,1.696292,8.752005,-0.045802,0.000000,0.076336,2.067461,-8.220448,-0.864270
7299,nan,nan,-1.904587,2.267309,8.762779,-0.702290,-0.030534,-0.412214,1.244110,-8.524054,-0.800785
7399,nan,nan,-1.944092,1.235408,8.883686,-0.061069,-0.015267,-0.015267,0.667733,-8.767243,0.363509
7499,nan,nan,-1.924938,1.310825,8.896854,-0.061069,-0.015267,-0.015267,0.707751,-8.949316,0.303977
