# Инициализация MPU6050...
# MPU6050 OK
# Держите неподвижно. Калибровка гиро... 5 сек
# Держите неподвижно... 4 сек
# Держите неподвижно... 3 сек
# Держите неподвижно... 2 сек
# Держите неподвижно... 1 сек
# Держите неподвижно... 0 сек
# Калибровка гиро завершена.
# DMP готов. Начинайте движение.
# Ожидание фиксации ГНСС...
time_ms,lat,lon,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg
5397,nan,nan,-1.460463,-6.028600,6.864176,-0.076336,-0.015267,-0.015267,-3.218099,-0.677390,0.008918
5497,nan,nan,-1.503559,-6.222530,7.042544,-0.061069,-0.015267,-0.015267,-6.362759,-1.262127,-0.035338
5597,nan,nan,-1.508347,-6.216545,7.035362,-0.045802,-0.015267,-0.015267,-9.274494,-1.788893,-0.110470
5697,nan,nan,-1.503559,-6.197391,7.064092,-0.061069,-0.015267,-0.015267,-11.982517,-2.272595,-0.217890
5797,nan,nan,-1.510741,-6.205771,7.054515,-0.076336,-0.015267,-0.015267,-14.593771,-2.745861,-0.338030
5897,nan,nan,-1.522712,-6.212954,7.049727,-0.061069,-0.015267,-0.015267,-16.993293,-3.170665,-0.487346
5997,nan,nan,-1.513135,-6.197391,7.060501,-0.076336,-0.015267,-0.015267,-19.225128,-3.565997,-0.644452
6097,nan,nan,-1.511938,-6.196194,7.066486,-0.076336,-0.015267,-0.015267,-21.330415,-3.933054,-0.814189
6197,nan,nan,-1.507150,-6.210559,7.071275,-0.076336,-0.015267,-0.015267,-23.291965,-4.272172,-0.992802
6297,nan,nan,-1.508347,-6.209362,7.062895,-0.061069,-0.015267,-0.015267,-25.119987,-4.583150,-1.171529
6397,nan,nan,-1.508347,-6.199785,7.054515,-0.076336,-0.015267,-0.015267,-26.823875,-4.867260,-1.354711
6497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6597,nan,nan,-1.553837,-6.232107,7.011420,-0.030534,-0.030534,0.030534,-29.981721,-5.537089,-2.007090
6697,nan,nan,-1.555034,-6.241684,7.022193,-0.061069,-0.015267,-0.015267,-31.355789,-5.793659,-2.226499
6797,nan,nan,-1.541866,-6.184223,7.074866,-0.091603,0.000000,-0.015267,-32.593166,-6.021136,-2.447548
6897,nan,nan,-1.563414,-6.199785,7.030573,-0.091603,0.000000,-0.015267,-33.962699,-6.260020,-2.639822
6998,nan,nan,-1.546654,-6.285976,6.994660,-0.061069,-0.015267,-0.015267,-35.136627,-6.375172,-2.678945
7098,nan,nan,-1.539472,-6.277597,6.988675,-0.061069,-0.015267,-0.015267,-36.220066,-6.522992,-2.805114
7198,nan,nan,-1.533486,-6.263232,7.005434,-0.045802,-0.015267,0.000000,-36.973930,-6.635896,-2.962544
7298,nan,nan,-1.572990,-6.359000,6.915652,0.000000,-0.030534,0.000000,-37.957653,-6.822534,-3.183266
7398,nan,nan,-1.529895,-6.197391,7.052121,-0.106870,0.000000,-0.015267,-38.665081,-6.930552,-3.338146
7498,nan,nan,-1.537077,-6.232107,7.031770,-0.045802,-0.015267,-0.015267,-39.427295,-7.046754,-3.487931
7598,nan,nan,-1.889025,-6.572083,6.690597,0.473282,-0.305344,0.167939,-39.576091,-7.440554,-4.233154
7698,nan,nan,-2.109292,-6.162675,9.642648,0.412214,-0.625954,-0.412214,-34.258117,-0.623255,-1.256739
7798,nan,nan,-1.669956,-6.519411,8.780735,0.885496,-0.610687,-0.656488,-28.830741,4.441529,2.043434
7898,nan,nan,1.702277,-4.944026,8.898051,1.893130,-0.366412,0.122137,-19.696071,11.121276,2.613573
7998,nan,nan,4.265270,-0.047884,9.289503,2.885496,-0.183206,0.351145,2.070474,16.971685,-6.200773
8098,nan,nan,3.786430,2.099715,5.978322,0.595420,-0.442748,0.625954,18.552194,17.796125,-17.406253
8198,nan,nan,4.321534,4.435259,9.144654,-1.129771,-0.091603,1.267176,21.875934,19.027568,-29.353860
8298,nan,nan,4.944026,2.316390,6.499061,0.717557,0.702290,3.007634,7.909448,22.163835,-46.919158
8398,nan,nan,2.740164,2.124854,7.218518,2.213740,2.671756,1.923664,17.403676,12.971950,-70.441673
8498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8598,nan,nan,2.400187,2.227805,7.975086,-0.381679,0.351145,0.503817,14.450757,-3.961621,-101.375885
8698,nan,nan,1.233014,1.783680,7.313089,-1.221374,0.534351,0.412214,6.936881,-7.365231,-105.478416
8798,nan,nan,-0.447716,-0.124498,9.078813,-1.343511,0.564885,0.671756,-4.311072,-12.425406,-110.706054
8898,nan,nan,-2.996343,-1.493982,10.103531,-0.167939,0.427481,0.763359,-8.395322,-21.395219,-117.295707
8998,nan,nan,-3.270479,-0.153229,9.180567,0.473282,0.274809,0.824427,-2.734781,-24.922290,-124.494140
9098,nan,nan,-2.375048,0.786495,8.262391,0.229008,-0.137405,0.229008,2.542622,-24.655496,-129.289108
9198,nan,nan,-1.908179,0.147243,9.052477,0.030534,-0.061069,0.335878,3.644357,-20.126913,-129.971054
9298,nan,nan,-2.206257,1.310825,8.804677,0.061069,-0.595420,-0.183206,4.782576,-16.271650,-130.132308
9398,nan,nan,-2.189497,1.914164,8.110359,-0.045802,-0.290076,0.030534,6.385517,-15.345769,-132.324844
9498,nan,nan,-1.412579,1.529895,8.740034,-0.167939,-0.091603,0.091603,4.737732,-12.718624,-132.806411
9598,nan,nan,-0.749385,0.906205,9.580399,-0.061069,0.717557,0.381679,3.127747,-12.858790,-133.845748
9698,nan,nan,-1.729811,1.249773,8.846576,-0.091603,-0.106870,-0.122137,2.784252,-14.644925,-134.477157
9798,nan,nan,-1.553837,0.700304,8.955512,-0.152672,-0.137405,0.061069,1.455885,-13.034703,-134.005844
9899,nan,nan,-1.394622,0.639252,9.340978,-0.076336,-0.167939,-0.030534,0.437619,-11.677864,-134.686630
9999,nan,nan,-1.478420,0.877475,8.981848,-0.106870,-0.106870,-0.030534,0.098048,-11.392045,-134.969589
10099,nan,nan,-1.479617,0.651223,9.127895,-0.137405,0.045802,0.061069,-0.840207,-11.097481,-135.669158
10199,nan,nan,-1.467646,0.784101,9.315839,0.045802,0.015267,0.000000,-0.198560,-10.975126,-135.863876
10299,nan,nan,-1.359907,0.865504,9.026141,0.061069,-0.015267,0.015267,0.939991,-10.404684,-136.095367
10399,nan,nan,-1.593341,0.963666,8.593988,-0.244275,0.030534,0.015267,0.931417,-10.468506,-136.449356
10499,nan,nan,-1.119289,1.139640,9.080011,-0.137405,-0.015267,0.000000,-0.106097,-10.321777,-137.052581
10599,nan,nan,-14.032417,-16.285360,24.618379,-357.007629,42.198474,392.106872,-42.478824,-1.180978,-172.994079
10699,nan,nan,-1.473631,0.663194,9.396045,-0.045802,0.045802,-0.030534,-1.569931,-10.608533,-136.682525
10799,nan,nan,-1.675941,0.784101,8.755596,-0.061069,-0.076336,-0.015267,-1.246129,-10.844560,-136.799102
10899,nan,nan,-1.558625,0.427365,9.005790,-0.122137,-0.045802,0.000000,-1.996672,-10.286455,-136.958389
10999,nan,nan,-1.405396,0.469264,8.990228,-0.167939,0.045802,0.000000,-2.856526,-10.228609,-137.209777
11099,nan,nan,-1.437718,0.365116,9.132683,-0.183206,0.045802,-0.030534,-4.007963,-10.401418,-137.363723
11199,nan,nan,-1.562217,0.286107,9.154231,-0.152672,0.030534,-0.045802,-4.985927,-10.693987,-137.310516
11299,nan,nan,-1.722628,0.263362,8.943541,-0.152672,0.045802,-0.030534,-5.688275,-11.282380,-137.241394
11399,nan,nan,-1.812411,-0.020351,8.965088,-0.091603,-0.045802,-0.030534,-6.344476,-11.510851,-137.221084
11499,nan,nan,-1.731008,0.019154,8.860941,-0.106870,0.076336,0.015267,-6.552166,-11.735351,-137.390441
11599,nan,nan,-1.697489,-0.132878,8.732851,-0.366412,0.580153,0.000000,-8.214020,-14.118122,-137.288482
11699,nan,nan,-3.131616,-0.907402,8.288726,-0.351145,0.625954,-0.015267,-11.735647,-20.385711,-136.605026
11799,nan,nan,-4.161122,-1.312023,9.115923,-0.213740,0.366412,-0.167939,-14.908979,-23.742156,-135.548263
11899,nan,nan,-5.066131,-1.420959,8.586805,-0.030534,0.061069,0.061069,-15.869475,-25.937566,-134.936965
11999,nan,nan,-4.200627,-1.383849,8.186973,0.045802,-0.152672,0.076336,-14.566844,-25.020233,-135.771942
