time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
14017,-16016,-332,-1632,-707,-73,-61,-3596
14027,-15992,-364,-1580,-707,-79,-64,-3589
14038,-15996,-338,-1612,-698,-64,-42,-3592
14048,-15944,-396,-1638,-702,-80,-37,-3594
14058,-16032,-428,-1660,-716,-67,-21,-3599
14068,-16082,-352,-1836,-719,-17,-2,-3593
14078,-16018,-340,-1672,-730,-42,2,-3600
14088,-16018,-340,-1672,-730,-42,2,-3600
14098,-15980,-356,-1628,-723,-53,-5,-3598
14108,-16064,-202,-1660,-699,-37,-12,-3596
14118,-16006,-250,-1632,-704,-62,-53,-3598
14128,-16006,-250,-1632,-704,-62,-53,-3598
14138,-16008,-356,-1594,-704,-67,-84,-3601
14148,-15982,-412,-1746,-700,-43,-69,-3597
14158,-16030,-374,-1752,-703,-49,-37,-3595
14168,-15974,-362,-1814,-716,-73,-17,-3594
14178,-16078,-354,-1728,-723,-74,2,-3600
14188,-16002,-318,-1658,-722,-69,-4,-3596
14198,-15990,-232,-1676,-711,-57,-10,-3596
14208,-16040,-244,-1630,-703,-68,-42,-3597
14218,-16018,-356,-1614,-704,-68,-77,-3598
14228,-15956,-314,-1638,-698,-65,-82,-3593
14238,-15978,-360,-1712,-710,-60,-57,-3601
14248,-16022,-342,-1818,-716,-51,-48,-3598
14258,-16002,-404,-1668,-715,-63,-57,-3592
14268,-15968,-398,-1718,-716,-55,-53,-3594
14278,-16002,-364,-1584,-714,-61,-50,-3595
14288,-15990,-350,-1636,-707,-75,-16,-3597
14298,-16044,-264,-1636,-710,-50,13,-3597
14308,-16020,-280,-1694,-718,-46,5,-3594
14318,-16032,-322,-1642,-713,-61,-32,-3600
14328,-16018,-300,-1688,-702,-57,-54,-3594
14338,-15934,-308,-1694,-706,-64,-75,-3592
14348,-16008,-352,-1736,-706,-50,-47,-3594
14358,-15984,-372,-1630,-717,-57,-36,-3596
14368,-15998,-304,-1700,-711,-49,-15,-3595
14379,-15998,-292,-1704,-700,-45,-18,-3598
14389,-16034,-340,-1608,-705,-57,-27,-3591
14399,-16004,-308,-1608,-718,-59,-43,-3591
14409,-15984,-384,-1686,-709,-34,-42,-3594
14419,-15966,-350,-1682,-701,-40,-43,-3595
14429,-16004,-382,-1648,-706,-47,-21,-3596
14439,-16028,-418,-1658,-712,-28,-21,-3592
14449,-15992,-332,-1782,-713,-29,-17,-3597
14459,-16022,-324,-1664,-702,-36,-16,-3592
14469,-15990,-384,-1614,-704,-59,-22,-3593
14479,-16036,-298,-1646,-711,-56,-16,-3592
14489,-15958,-318,-1636,-706,-51,-27,-3594
14499,-15964,-282,-1594,-705,-47,-35,-3590
